,Position,Track Name,Artist,Streams,URL,date
0,1,DÁKITI,Bad Bunny,4746459,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,2020-12-28
1,2,Mood (feat. iann dior),24kGoldn,3376236,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-12-28
2,3,positions,Ariana Grande,3293298,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-12-28
3,4,BICHOTA,KAROL G,3170200,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1,2020-12-28
4,5,Blinding Lights,The Weeknd,3098864,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-12-28
5,6,34+35,Ariana Grande,2907030,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,2020-12-28
6,7,Dynamite,BTS,2663470,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,2020-12-28
7,8,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2627410,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,2020-12-28
8,9,LA NOCHE DE ANOCHE,Bad Bunny,2614123,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck,2020-12-28
9,10,Therefore I Am,Billie Eilish,2389225,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,2020-12-28
10,11,WITHOUT YOU,The Kid LAROI,2362926,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA,2020-12-28
11,12,Afterglow,Ed Sheeran,2309734,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq,2020-12-28
12,13,Whoopty,CJ,2300669,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA,2020-12-28
13,14,What You Know Bout Love,Pop Smoke,2238539,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,2020-12-28
14,15,willow,Taylor Swift,2131019,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D,2020-12-28
15,16,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,2112810,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1,2020-12-28
16,17,HOLIDAY,Lil Nas X,2110461,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli,2020-12-28
17,18,Snowman,Sia,2081883,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq,2020-12-28
18,19,Levitating (feat. DaBaby),Dua Lipa,2015422,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,2020-12-28
19,20,you broke me first,Tate McRae,1945507,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,2020-12-28
20,21,Hawái,Maluma,1931347,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,2020-12-28
21,22,Watermelon Sugar,Harry Styles,1926288,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-12-28
22,23,WAP (feat. Megan Thee Stallion),Cardi B,1911527,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-12-28
